name,artists,album,year,length,playlist
Uncool,SWMRS,Drive North,2016,02:45,12/20
"Ruby, Don't Take Your Love to Town",CAKE,b-sides and rarities,2007,02:56,12/20
With A Gun,Steely Dan,Pretzel Logic,1974,02:17,12/20
I'm All Wrong,Juan Wauters,Who Me?,2015,02:23,12/20
Indian Summer,Beat Happening,Jamboree,1988,03:05,12/20
Change Of The Guard,Steely Dan,Can't Buy A Thrill,1972,03:38,12/20
happiness,Taylor Swift,evermore,2020,05:15,12/20
Speed Racer,Her's,Songs of Her's,2017,02:32,12/20
Cellphone's Dead,Beck,The Information,2006,04:46,12/20
You're Somebody Else,flora cash,You're Somebody Else,2018,03:39,12/20
Take My Hand,Matt Berry,Witchazel,2011,03:11,12/20
I Think I'll Disappear Now,Crash Test Dummies,God Shuffled His Feet,1994,04:52,12/20
Unbearably White,Vampire Weekend,Father of the Bride,2019,04:40,12/20
Good Kisser,Lake Street Dive,Free Yourself Up,2018,03:38,12/20
The First Step,Will Wood and the Tapeworms,Everything Is a Lot,2015,03:18,12/20
Heartbreaker,the moss,Some of Kentucky Derby,2020,02:59,12/20
Hey Nineteen,Steely Dan,Gaucho,1980,05:07,12/20
Kool Musik,Yung Heazy,I UR BOY,2020,03:46,12/20
I Would If I Could,Brad Goodall,I Would If I Could,2020,03:49,12/20
Japanese Soda,One South Lark,Japanese Soda,2018,03:26,12/20
Medicine for Melancholy,Rivers Cuomo,Medicine for Melancholy,2018,03:38,12/20
Heater,Little Car,Heater,2017,02:50,12/20
Thursday,Morphine,Cure for Pain,1993,03:26,12/20
"no body, no crime (feat. HAIM)",Taylor Swift & HAIM,evermore,2020,03:36,12/20
Falsetto,Chris Thile,Thanks for Listening,2017,04:56,12/20
Don't Let Me Go,Room D,Don't Let Me Go,2020,03:27,12/20
Hey Ya,Surfer Blood,Covers,2019,04:02,12/20
Vanishing Girl - 2001 Mix,The Dukes Of Stratosphear,Chips From The Chocolate Fireball,1987,03:00,01/21
Bright Future In Sales,Fountains Of Wayne,Welcome Interstate Managers,2003,03:06,01/21
Ballroom Blitz,Sweet,Desolation Boulevard,1974,04:07,01/21
Clusterhug,I DONT KNOW HOW BUT THEY FOUND ME,RAZZMATAZZ,2020,03:12,01/21
Hurt Somebody,Noah Kahan & Julia Michaels,Busyhead,2019,02:47,01/21
I Eat Salads Now,Sidney Gish,No Dogs Allowed,2017,01:59,01/21
Ready to Win,Tokyo Police Club,TPC,2018,03:15,01/21
Warhead,The Presidents Of The United States Of America,These Are the Good Times People,2008,01:55,01/21
Crappy Ghost,The Presidents Of The United States Of America,Kudos to You!,2014,02:26,01/21
Made For Ending,Jukebox The Ghost,Jukebox The Ghost,2015,03:01,01/21
Bad Times,The Presidents Of The United States Of America,These Are the Good Times People,2008,03:00,01/21
Football Now,Henry Hall,Neato,2020,03:14,01/21
Resignation,Paul Cauthen,Resignation,2018,03:41,01/21
Cabinet Man,Lemon Demon,Spirit Phone,2016,04:23,01/21
Figure 8,Peach Pit,You and Your Friends,2020,03:29,01/21
Goodbye-Goodbye - Boingo Alive Version,Oingo Boingo,Best O' Boingo,1991,03:30,01/21
Old Friends,Pinegrove,Cardinal,2016,03:28,01/21
The Spook,Pete Drake,The Fabulous Steel Guitar Sound of Pete Drake,1962,02:21,01/21
I'm Free,The Who,Tommy,1969,02:39,01/21
Achy Breaky Heart,Billy Ray Cyrus,Some Gave All,1992,03:23,01/21
Leave Me Alone,I DONT KNOW HOW BUT THEY FOUND ME,RAZZMATAZZ,2020,03:36,01/21
No Instructions,The Happy Fits,What Could Be Better,2020,03:40,01/21
Deleter,Grouplove,Healer,2020,03:54,01/21
Bad Reputation,Joan Jett & The Blackhearts,Bad Reputation (Expanded Edition),1981,02:49,01/21
Barrytown,Steely Dan,Pretzel Logic,1974,03:21,01/21
Someday,The Strokes,Is This It,2001,03:03,01/21
Barely Legal,The Strokes,Is This It,2001,03:55,01/21
David Watts,The Kinks,Something Else (Deluxe Edition),1967,02:29,01/21
Ghost,ZZ Ward,The Storm,2017,03:00,01/21
Belly Side Up,Bent Knee,Land Animal,2017,04:15,01/21
Alrighty Aphrodite,Peach Pit,Being So Normal,2018,03:28,01/21
Glitter & Gold,Barns Courtney,The Attractions Of Youth,2017,02:56,01/21
Tropics,Sunny & Gabe,Peace of Cake,2018,04:10,01/21
Seventeen,Haley Blais,Let Yourself Go,2018,03:29,01/21
Middle Fingers,MISSIO,Loner,2017,03:35,01/21
What Could Be Better,The Happy Fits,What Could Be Better,2020,02:53,01/21
Reconnez Cherie,Wreckless Eric,Wreckless Eric,1978,03:15,01/21
Lose It,SWMRS,Drive North,2016,04:01,02/21
Maniac,Conan Gray,Kid Krow,2020,03:06,02/21
Sofia,Clairo,Immunity,2019,03:08,02/21
