name,artists,album,year,length,playlist
Seabiscuit,the moss,Kentucky Derby,2021,02:58,07/21
Motorola,Miloe,Motorola,2019,02:26,07/21
Twenty Two and Some Change,Stephen Day,Guess I’m Grown Now,2019,02:54,07/21
Shampoo Bottles,Peach Pit,You and Your Friends,2020,03:44,07/21
People Go Home,Jukebox The Ghost,Off To The Races,2018,02:44,07/21
Boring,Jukebox The Ghost,Off To The Races,2018,04:01,07/21
For What It's Worth,Buffalo Springfield,Buffalo Springfield,1966,02:34,07/21
Serotonin,girl in red,Serotonin,2021,03:02,07/21
Destroyer,Saint Motel,saintmotelevision,2016,03:12,07/21
"Jerusalem, New York, Berlin",Vampire Weekend,Father of the Bride,2019,02:55,07/21
Salad Days,Mac DeMarco,Salad Days,2014,02:26,07/21
Ode to Viceroy,Mac DeMarco,2,2012,03:54,07/21
Let's Get Retarded,Black Eyed Peas,Elephunk,2003,03:36,07/21
Never Had The Balls,Rex Orange County,Pony,2019,03:57,07/21
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,Turn! Turn! Turn!,1965,03:49,07/21
What Once Was,Her's,Songs of Her's,2017,04:15,07/21
Harvey,Her's,Invitation to Her's,2018,03:31,07/21
Stop Making This Hurt,Bleachers,Take the Sadness Out of Saturday Night,2021,03:20,08/21
Don't Go Dark,Bleachers,Take the Sadness Out of Saturday Night,2021,04:04,08/21
Fvck Somebody,The Wrecks,Infinitely Ordinary,2020,03:01,08/21
Everybody Wants To Be Famous,Superorganism,Superorganism,2018,03:05,08/21
Love You To - Remastered 2009,The Beatles,Revolver (Remastered),1966,03:00,08/21
My Old Man,Mac DeMarco,This Old Dog,2017,03:42,08/21
One Another,Mac DeMarco,This Old Dog,2017,02:46,08/21
A Wolf Who Wears Sheeps Clothes,Mac DeMarco,This Old Dog,2017,02:49,08/21
Still Beating,Mac DeMarco,This Old Dog,2017,03:02,08/21
Chaise Longue,Wet Leg,Chaise Longue,2021,03:17,08/21
Year Of The Spider,Shannon & The Clams,Year Of The Spider,2021,02:31,08/21
Clean,Taylor Swift,1989,2014,04:31,08/21
Chagu's Sideturn,Peach Pit,Being So Normal,2018,03:30,08/21
It’s All Good,Superorganism,Superorganism,2018,03:24,08/21
It's Still Cool If You Don't,Briston Maroney,It's Still Cool If You Don't,2021,03:57,08/21
Don't Go Near The Water - Remastered 2009,The Beach Boys,Surf's Up,1971,02:42,08/21
Surf's Up - Remastered 2009,The Beach Boys,Surf's Up,1971,04:14,08/21
I'm Into Something Good,Herman's Hermits,Herman's Hermits Retrospective,1966,02:34,08/21
Sound Of A Broken Heart,Jukebox The Ghost,Jukebox The Ghost,2015,03:16,08/21
How Dare You Want More,Bleachers,Take the Sadness Out of Saturday Night,2021,04:00,08/21
Pet Shop Eyes,The Growlers,Hung At Heart,2013,03:34,08/21
Another Try,The Happy Fits,Another Try,2021,02:44,08/21
Busy Doin' Nothin' - Remastered 2001,The Beach Boys,Friends (Remastered),1968,03:06,08/21
Hey Mickey,Toni Basil,Hey Mickey,2020,04:13,08/21
Get a Job,The Happy Fits,What Could Be Better,2020,02:59,08/21
End of the Movie,CAKE,Pressure Chief,2004,01:50,08/21
Daylight,Maroon 5,Overexposed (Deluxe),2012,03:45,08/21
A-O-K,Tai Verdes,TV,2021,02:54,08/21
Sidelines,Wallows,Nothing Happens,2019,03:01,08/21
If You Know What's Right,Her's,Invitation to Her's,2018,03:20,08/21
Sweet And Bitter,The Beach Boys,"Feel Flows" The Sunflower & Surf’s Up Sessions 1969-1971 (Super Deluxe),2021,02:34,08/21
Seasons In The Sun,The Beach Boys,"Feel Flows" The Sunflower & Surf’s Up Sessions 1969-1971 (Super Deluxe),2021,03:26,08/21
Time,Ben Folds,Songs For Silverman,2005,04:28,08/21
Alright Guy,Todd Snider,Songs For The Daily Planet,1994,04:30,08/21
Big Sur,The Beach Boys,This Whole World / Surf’s Up / Susie Cincinnati / Big Sur,2021,02:35,08/21
Meanwhile Back in the City,The Presidents Of The United States Of America,Freaked Out And Small,2000,03:23,09/21
Blank Baby,The Presidents Of The United States Of America,Freaked Out And Small,2000,03:49,09/21
Headin' Out,The Presidents Of The United States Of America,Freaked Out And Small,2000,04:17,09/21
Tiger Bomb - (Demo),The Presidents Of The United States Of America,Freaked Out And Small,2000,03:24,09/21
Last Girl on Earth,The Presidents Of The United States Of America,Freaked Out And Small,2000,02:20,09/21
Stay,Oingo Boingo,Dead Man's Party,1985,03:37,09/21
Never Is Enough,Barenaked Ladies,Stunt (20th Anniversary Edition),1998,03:23,09/21
Record Player (with AJR),Daisy the Great & AJR,Record Player (with AJR),2021,02:30,09/21
Ice Cold Pool,Wallows,Nothing Happens,2019,03:58,09/21
i deserve 2 b alone,Tai Verdes,TV,2021,02:46,09/21
She Wants Me (To Be Loved),The Happy Fits,What Could Be Better,2020,03:19,09/21
Cocaine,Sleepwalkers,Greenwood Shade,2014,03:05,09/21
Harness Your Hopes - (B-side),Pavement,Brighten the Corners: Nicene Creedence Ed.,1997,03:27,09/21
Dr Jekyll & Mr Hyde,Ezra Furman,The Year of No Returning,2013,03:47,09/21
Puppy Grin,Peach Pit,You and Your Friends,2020,02:51,09/21
You and Your Friends,Peach Pit,You and Your Friends,2020,03:57,09/21
the 1,Taylor Swift,folklore,2020,03:30,09/21
cardigan,Taylor Swift,folklore,2020,04:00,09/21
invisible string,Taylor Swift,folklore,2020,04:13,09/21
Anybody Else But Me,FUR,Anybody Else But Me,2021,03:31,09/21
Black Moss,the moss,Bryology,2019,03:54,10/21
Backwater,Meat Puppets,Too High To Die,1994,03:41,10/21
Speed Living,The Growlers,City Club,2016,03:23,10/21
Table for One,AWOLNATION,Here Come the Runts,2018,04:39,10/21
Still into You,Paramore,Paramore,2013,03:36,10/21
You Fine,Saint Motel,saintmotelevision B-sides,2018,02:57,10/21
Cold Cold Man,Saint Motel,My Type EP,2014,03:51,10/21
Seen and Not Seen,Talking Heads,Remain in Light,1980,03:25,10/21
Sports,Beach Bunny,Sports,2018,02:44,10/21
"So Alright, Cool, Whatever",The Happy Fits,Concentrate,2018,03:11,10/21
I Can Change,LCD Soundsystem,This Is Happening,2010,05:52,10/21
Television / So Far So Good,Rex Orange County,Apricot Princess,2017,04:23,10/21
Mannie's Smile,Her's,Invitation to Her's,2018,03:40,10/21
Everyone's in Love with You,David Byrne,Look into the Eyeball,2001,02:29,10/21
2021,Vampire Weekend,Father of the Bride,2019,01:38,10/21
Airliner,Cheers Elephant,Airliner,2015,03:32,10/21
Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives,2009,03:22,10/21
A Wolf Who Wears Sheeps Clothes - Demo,Mac DeMarco,Old Dog Demos,2018,02:22,10/21
Things Happen,Dawes,All Your Favorite Bands,2015,04:03,10/21
Thursday,Peach Pit,You and Your Friends,2020,03:04,10/21
Hell Yes,Beck,Guero,2005,03:18,11/21
Problems,Mother Mother,Eureka,2011,03:28,11/21
The Fine Line of a Quiet Life,FUR,When You Walk Away,2021,02:42,11/21
Chest Hair,Sitting on Stacy,Perfectly Sane,2019,03:28,11/21
This Love,Taylor Swift,1989,2014,04:10,11/21
Whistle For The Choir,The Fratellis,Costello Music,2007,03:36,11/21
The Gutterati?,The Fratellis,Costello Music,2007,02:29,11/21
What You Like,Wallows,Nothing Happens,2019,03:21,11/21
Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021,03:43,11/21
Let It Be - Remastered,The Beatles,Let It Be (Remastered),1970,04:03,11/21
Everytime We Touch,Cascada,Everytime We Touch (Premium Edition),2010,03:17,11/21
Might Might Not,Sure Sure,What's It Like?,2019,03:15,11/21
Ring The Alarm,Tenor Saw,Tenor Saw Meets Nitty Gritty,2008,03:08,11/21
Rent a Cop,Ben Folds,"supersunnyspeedgraphic, the lp",2006,05:09,11/21
Cut To The Feeling,Carly Rae Jepsen,Cut To The Feeling,2017,03:28,11/21
Never Really Over,Katy Perry,Smile,2020,03:43,11/21
Moody Motorcycle,Human Highway,Moody Motorcycle,2008,03:11,11/21
Even When The Water's Cold,!!!,Thr!!!er,2013,03:47,11/21
Big Ol World,Saint Motel,Big Ol World (from “At home with the kids”),2020,01:56,11/21
Look Out!,Peach Pit,Look Out!,2021,02:57,11/21
bad idea!,girl in red,chapter 2,2019,03:40,11/21
Tchaikovsky & Solitude,Miniature Tigers,Tell It to the Volcano,2009,03:05,11/21
Better Man (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021,04:57,11/21
She's The Warmest Colour In My Mind,FUR,When You Walk Away,2021,02:30,11/21
I And Love And You,The Avett Brothers,I And Love And You,2009,05:01,11/21
23,Wallice,23,2021,02:45,11/21
Easier to Cry,TV Girl,Lonely Women,2013,03:15,11/21
Rubber & Bone,The Growlers,City Club,2016,03:55,11/21
Lovers Rock,TV Girl,French Exit,2014,03:34,12/21
Hungry People,The Happy Fits,Concentrate,2018,02:22,12/21
Reason for Dreaming,The Happy Fits,Concentrate,2018,03:33,12/21
Best Tears,The Happy Fits,Concentrate,2018,02:39,12/21
We like to Party! (The Vengabus) Six Flags,Vengaboys,We like to Party! (The Vengabus),1998,03:42,12/21
Black Day in December,Said The Whale,Islands Disappear,2009,02:53,12/21
Birds Dont Sing,TV Girl,French Exit,2014,03:29,12/21
The Adults Are Talking,The Strokes,The New Abnormal,2020,05:09,12/21
Across The Sea,Weezer,Pinkerton,1996,04:33,12/21
Falling For You,Weezer,Pinkerton,1996,03:48,12/21
Like Real People Do,Hozier,Hozier (Expanded Edition),2014,03:18,12/21
Kilby Girl,The Backseat Lovers,When We Were Friends,2019,04:42,12/21
Chocolate,The 1975,The 1975 (Deluxe Version),2013,03:45,12/21
"1 for 1, DiMaggio",Vulfpeck,The Beautiful Game,2016,03:09,12/21
I'll Be Missing You (feat. 112),Diddy & Faith Evans & 112,Bad Boy's 10th Anniversary- The Hits,2004,05:02,12/21
No Milk Today,Herman's Hermits,Herman's Hermits Retrospective,1966,02:56,12/21
Not Allowed,TV Girl,Who Really Cares,2016,02:48,12/21
I've Just Seen A Face - Remastered 2009,The Beatles,Help! (Remastered),1965,02:05,12/21
Heart of a Dancer,The Happy Fits,Concentrate,2018,03:38,12/21
Annie Oakley,Miniature Tigers,Tell It to the Volcano,2009,03:11,12/21
A Donde Sea,Julieta Venegas,Limon Y Sal,2006,02:55,12/21
Mr. Finish Line (feat. Christine Hucal & Theo Katzman),Vulfpeck & Christine Hucal & Theo Katzman,Mr Finish Line,2017,03:13,12/21
Way It Goes,Hippo Campus,Landmark,2017,04:05,12/21
Relimerence,The Happy Fits,Concentrate,2018,04:29,12/21
Up Granville,Peach Pit,Up Granville,2021,03:51,12/21
Getting Better - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),1967,02:48,12/21
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis & Macklemore & Ryan Lewis & Ray Dalton,The Heist,2012,04:18,01/22
In Bed,Rare Earth,Get Ready,1969,03:03,01/22
Golden Gal,Animal Collective,Painting With,2016,04:42,01/22
Late,Ben Folds,Songs For Silverman,2005,03:56,01/22
Bad Dream Baby,Hippo Campus,Bad Dream Baby,2021,02:58,01/22
Walcott,Vampire Weekend,Vampire Weekend,2008,03:42,01/22
What'd I Do With All This Faith?,Bleachers,Take the Sadness Out of Saturday Night,2021,03:18,01/22
Jenny,WALK THE MOON,Walk The Moon,2012,04:05,01/22
The Kids Don't Stand a Chance,Vampire Weekend,Vampire Weekend,2008,04:03,01/22
Raised By Wolves,Voxtrot,Raised By Wolves EP,2005,04:41,01/22
Then He Kissed Me,The Crystals,Da Doo Ron Ron: The Very Best of The Crystals,2011,02:39,01/22
Sucker's Prayer,The Decemberists,I'll Be Your Girl,2018,03:29,01/22
Tom's Diner,Suzanne Vega,Solitude Standing,1987,02:09,01/22
Preach,Saint Motel,The Original Motion Picture Soundtrack,2021,03:05,01/22
Brazilian Soul (feat. Sofi Tukker) - Acoustic Bossa Version,The Knocks & Sofi Tukker,Brazilian Soul (feat. Sofi Tukker) [Remixes],2018,04:11,01/22
Can You Handle My Love??,WALK THE MOON,Can You Handle My Love??,2021,04:16,01/22
Real Talk,M.A.G.S.,M.A.G.S.,2017,01:57,01/22
Don't Break His Heart,bülow,Don't Break His Heart,2022,03:11,01/22
Come And Get It - Remastered 2010,Badfinger,Magic Christian Music (Remastered 2010 / Deluxe Edition),1970,02:23,02/22
New Slang,The Shins,"Oh, Inverted World",2001,03:51,02/22
Californiyeah,!!!,Thr!!!er,2013,04:34,02/22
One Girl / One Boy,!!!,Thr!!!er,2013,04:04,02/22
Hold On,Chord Overstreet,Hold On,2017,03:19,02/22
i h8 that i still feel bad for u,Claire Rosinkranz,i h8 that i still feel bad for u,2022,02:55,02/22
blackboard.edu,Arlie,blackboard.edu,2018,03:39,02/22
Steal My Sunshine,LEN,You Can't Stop The Bum Rush,1999,04:26,02/22
La Da Dee,Cody Simpson,Surfers Paradise (Expanded),2013,03:17,02/22
The Real World,Owl City,All Things Bright And Beautiful,2011,03:35,02/22
"What, Me Worry?",Portugal. The Man,"What, Me Worry?",2022,02:57,02/22
Sort Of Stranger,The Greeting Committee & Briston Maroney,Sort Of Stranger,2022,03:31,02/22
Bang Bang,Hippo Campus,LP3,2022,02:54,02/22
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021,03:46,02/22
Slyd,!!!,Thr!!!er,2013,04:15,02/22
Cheeseburger In Paradise,Jimmy Buffett,Son Of A Son Of A Sailor,1978,02:56,02/22
Oliver's Army,Elvis Costello & The Attractions,Armed Forces (Remastered 2020),2020,03:01,02/22
Friends - Remastered 2001,The Beach Boys,Friends (Remastered),1968,02:33,02/22
You're My Favorite Waste of Time - Remastered Version,"Marshall Crenshaw & The Handsome, Ruthless and Stupid Band",Marshall Crenshaw (Deluxe),2005,02:39,02/22
Do Not Wait,Wallows,Nothing Happens,2019,06:31,02/22
745 sticky,100 gecs & Laura Les & Dylan Brady,1000 gecs,2019,02:21,02/22
Blinding Lights,The Weeknd,After Hours,2020,03:20,02/22
False Direction,Dayglow,Fuzzybrain,2019,04:37,02/22
F**k California,The Presidents Of The United States Of America,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,1995,03:05,02/22
Horchata,Vampire Weekend,Contra,2010,03:27,02/22
California English,Vampire Weekend,Contra,2010,02:30,02/22
That Life,Unknown Mortal Orchestra,That Life,2021,03:37,02/22
Sundown,Rank And File,The Slash Years,2004,03:06,02/22
The Prawn Song,Superorganism,Superorganism,2018,03:16,02/22
Do You Believe in Magic?,The Lovin' Spoonful,Do you Believe In Magic,1965,02:06,03/22
Loving Is Easy,Rex Orange County & Benny Sings,Loving Is Easy,2017,02:36,03/22
Give Up Baby Go,Peach Pit,From 2 to 3,2022,04:17,03/22
The Daisy Chain,The Growlers,City Club,2016,03:45,03/22
No Distance,Morning Teleportation,No Distance,2018,02:19,03/22
Beta Love,Ra Ra Riot,Beta Love,2013,02:56,03/22
Goodbye Mr A,The Hoosiers,The Trick To Life,2008,04:27,03/22
Binary Mind,Ra Ra Riot,Beta Love,2013,03:13,03/22
Dying Is Fine,Ra Ra Riot,The Rhumb Line (10th Anniversary Edition),2008,03:52,03/22
This Time Of Year,Ra Ra Riot,Superbloom,2019,03:57,03/22
ringtone,100 gecs & Laura Les & Dylan Brady,1000 gecs,2019,02:24,03/22
hangar,8485,plague town,2021,02:46,03/22
AM Gold,Train,AM Gold,2022,02:49,03/22
Stuck in the Middle,Tai Verdes,Stuck in the Middle,2020,03:16,03/22
Mon Amour - Remix,zzoilo & Aitana,Mon Amour (Remix),2021,03:00,03/22
Wet Dream,Wet Leg,Wet Dream,2021,02:20,03/22
Aicha - Version Mixte,Khaled,Sahra,1997,04:20,03/22
Doin' Well,Roland Faunte,Needle and Thread,2021,18:42,03/22
She'd Rather Be With Me,The Turtles,Happy Together,1967,02:22,03/22
"Save Me, San Francisco",Train,"Save Me, San Francisco (Golden Gate Edition)",2010,04:09,03/22
Drop the Guillotine,Peach Pit,Sweet FA,2018,03:48,03/22
G.O.A.T.,Polyphia,New Levels New Devils,2018,03:36,03/22
Goose,Polyphia,The Most Hated,2017,04:15,03/22
You should be sad,Halsey,You should be sad,2019,03:25,04/22
Polaroid,Imagine Dragons,Smoke + Mirrors,2014,03:50,04/22
Playin' Me Back,bülow,Playin' Me Back,2022,01:50,04/22
Hands Down Olivia,Super American,Tequila Sunrise,2018,02:37,04/22
Ghosting,Mother Mother,O My Heart,2008,04:46,04/22
Swing & A Miss,Oliver Tree,Cowboy Tears,2022,02:59,04/22
Crooked Teeth,Death Cab for Cutie,Plans,2005,03:24,04/22
Leader Of The Pack,The Shangri-Las,The Best Of The Shangri-Las,1996,02:51,04/22
The Way That I Love U Has Changed,Chris Farren,The Way That I Love U Has Changed,2018,03:18,04/22
Boys Will Be Boys,bülow,Boys Will Be Boys,2019,02:36,04/22
True Dreams of Wichita,Soul Coughing,Ruby Vroom,1994,05:00,04/22
Even If You Don't,Ween,White Pepper,2000,03:25,04/22
Blessin' Me,Red Hearse,Red Hearse,2019,03:05,04/22
Booty Call,bülow,Booty Call,2022,03:14,04/22
saw u in a dream,tyke james,saw u in a dream,2021,02:35,04/22
Being so Normal,Peach Pit,Being So Normal,2018,03:40,04/22
Virgin Lady Luck,Brooks Nielsen,Virgin Lady Luck,2021,04:49,04/22
Open up (For Clizz),Brooks Nielsen,Open up (For Clizz),2022,03:08,04/22
Wii Turn Up (Wii Menu Remix),Murcy,Wii Turn Up (Wii Menu Remix),2015,03:16,04/22
More Like You,Orla Gartland,Woman on the Internet,2021,03:40,04/22
Marvelous,Wallows,Tell Me That It’s Over,2022,02:22,04/22
At the End of the Day,Wallows,Tell Me That It’s Over,2022,03:53,04/22
Lucky,Jason Mraz & Colbie Caillat,We Sing. We Dance. We Steal Things.,2008,03:10,04/22
Dance Alone,The Happy Fits,Dance Alone,2022,03:16,04/22
Die and Live Forever,The Growlers,Natural Affair,2019,03:08,04/22
Might Be Right,White Reaper,You Deserve Love,2019,03:57,05/22
This Time,Sure Sure,This Time,2022,02:14,05/22
Unbelievers,Vampire Weekend,Modern Vampires of the City,2013,03:23,05/22
Diane Young,Vampire Weekend,Modern Vampires of the City,2013,02:40,05/22
Be Okay,bo en,Pale Machine,2013,03:41,05/22
Que' Onda Guero,Beck,Guero,2005,03:29,05/22
cold weather,glass beach,the first glass beach album,2019,02:18,05/22
Are You Serious,Andrew Bird,Are You Serious,2016,03:38,05/22
Ophelia,The Lumineers,Ophelia,2016,02:40,05/22
Home,Blue October,Home,2016,04:07,05/22
Mambo No. 5 (a Little Bit of...),Lou Bega,A Little Bit of Mambo,1999,03:40,05/22
Congratulations,Post Malone & Quavo,Stoney (Deluxe),2016,03:40,05/22
Little Sister Song,Kid Sistr,Little Sister Song,2020,02:33,05/22
Vickie,Peach Pit,Vickie,2022,03:44,05/22
The Youth,MGMT,Oracular Spectacular,2007,03:48,05/22
Electric Feel,MGMT,Oracular Spectacular,2007,03:50,05/22
Kids,MGMT,Oracular Spectacular,2007,05:03,05/22
My Girl Forever,Miniature Tigers,I Dreamt I Was a Cowboy,2016,03:18,05/22
Ocean's Deep,Born Ruffians,Birthmarks,2013,02:47,05/22
